etau,alpha,beta,etau_idx,alpha_idx,beta_idx,genie_1st_file_idx
30000,0.93,0.212,3,2,2,0
5000,0.95,0.208,0,3,0,200
10400,0.95,0.208,1,3,0,400
30000,0.97,0.214,3,4,3,600
10400,0.93,0.212,1,2,2,800
